source,url,name,price_raw,price_vnd
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-sennheiser-momentum-4.html,Tai nghe Bluetooth chụp tai Sennheiser MOMENTUM 4,9.499.000đ,9499000
cellphones,https://cellphones.com.vn/tai-nghe-bluetooth-chup-tai-havit-h670bt-anc.html,Tai nghe bluetooth chụp tai Havit H670BT ANC (Space S1),1.750.000đ,1750000
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-havit-h630bt.html,Tai nghe Bluetooth chụp tai Havit H630BT,470.000đ,470000
cellphones,https://cellphones.com.vn/tai-nghe-nhet-tai-samsung-eo-ic-100-type-c.html,Tai nghe nhét tai Samsung EO-IC100 Type C,550.000đ,550000
cellphones,https://cellphones.com.vn/tai-nghe-co-day-xiaomi-type-c.html,Tai nghe có dây Xiaomi Type-C,169.000đ,169000
cellphones,https://cellphones.com.vn/tai-nghe-nhet-tai-devia-smart-earpods-co-mic.html,Tai nghe nhét tai Devia Smart Earpods có Mic,180.000đ,180000
cellphones,https://cellphones.com.vn/tai-nghe-gaming-hyperx-cloud-earbuds-2.html,Tai nghe có dây Gaming Hyperx Cloud Earbuds 2,970.000đ,970000
cellphones,https://cellphones.com.vn/tai-nghe-jbl-tune-310c.html,Tai nghe có dây JBL Tune 310C,575.000đ,575000
cellphones,https://cellphones.com.vn/tai-nghe-sony-mdr-ex155ap.html,Tai nghe Sony MDR-EX155AP,390.000đ,390000
cellphones,https://cellphones.com.vn/tai-nghe-co-day-baseus-encok-cz11.html,Tai nghe có dây Baseus Encok CZ11,110.000đ,110000
cellphones,https://cellphones.com.vn/tai-nghe-sony-mdr-ex15ap.html,Tai nghe Sony MDR-EX15AP,290.000đ,290000
cellphones,https://cellphones.com.vn/tai-nghe-kz-zsn-pro-x.html,Tai nghe KZ ZSN Pro X,690.000đ,690000
cellphones,https://cellphones.com.vn/tai-nghe-co-day-havit-fuxi-h5d.html,Tai nghe có dây Gaming Havit FUXI-H5D,500.000đ,500000
cellphones,https://cellphones.com.vn/tai-nghe-rog-cetra-ii-core.html,Tai nghe có dây Gaming ASUS ROG Cetra II Core,1.290.000đ,1290000
cellphones,https://cellphones.com.vn/tai-nghe-co-day-jbl-quantum-50c.html,Tai nghe gaming JBL Quantum 50C,870.000đ,870000
cellphones,https://cellphones.com.vn/tai-nghe-gaming-co-day-hyperx-cloud-3.html,Tai nghe chụp tai Gaming Hyperx Cloud 3,2.440.000đ,2440000
cellphones,https://cellphones.com.vn/tai-nghe-co-day-sony-ier-ex15c.html,Tai nghe có dây Sony IER-EX15C,599.000đ,599000
cellphones,https://cellphones.com.vn/tai-nghe-co-day-kz-edx-lite.html,Tai nghe có dây KZ EDX Lite (có mic),225.000đ,225000
cellphones,https://cellphones.com.vn/tai-nghe-co-day-havit-e336c-type-c.html,Tai nghe có dây Havit E336C (Cổng Type-C),160.000đ,160000
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-anker-soundcore-k20i-a3994.html,Tai nghe Bluetooth True Wireless Anker Soundcore K20i - A3994,520.000đ,520000
