source,url,name,price_raw,price_vnd,brand,type,is_gaming,is_wireless,has_mic,connection,battery_life_hours,weight_gram,battery_applicable,type_was_missing,connection_was_missing,battery_life_hours_was_missing,weight_gram_was_missing,price_vnd_capped,price_vnd_original,brand_grouped,connection_grouped,price_per_gram,price_per_battery_hour
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-anker-soundcore-r50i-nc.html,Tai nghe Bluetooth True Wireless Anker Soundcore R50I NC,480.000đ,-0.24149659863945577,Anker,in-ear,0,1,0,Bluetooth,-0.8947368421052632,-0.16362786348761102,1,0,0,0,0,480000,480000,Other,Bluetooth,96000.0,48000.0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-sennheiser-hd-400s.html,Tai nghe chụp tai Sennheiser HD 400S,1.190.000đ,0.0,Sennheiser,over-ear,0,0,1,3.5mm,,0.8274894810659187,0,0,0,1,0,1190000,1190000,Sennheiser,3.5mm,5483.870967741936,
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-gaming-sony-inzone-h7.html,Tai nghe chụp tai Gaming Sony Inzone H7,3.990.000đ,0.9523809523809523,Sony,over-ear,1,0,1,3.5mm,,1.332398316970547,0,0,1,0,0,3990000,3990000,Sony,3.5mm,12276.923076923076,
cellphones,https://cellphones.com.vn/tai-nghe-jbl-quantum-400.html,Tai nghe chụp tai Gaming JBL Quantum 400,2.490.000đ,0.4421768707482993,Jbl,over-ear,1,0,1,3.5mm,,1.0939691444600281,0,0,1,1,0,2490000,2490000,Jbl,3.5mm,9087.591240875912,
cellphones,https://cellphones.com.vn/tai-nghe-bluetooth-xiaomi-redmi-buds-6-play.html,Tai nghe Bluetooth True Wireless Xiaomi Redmi Buds 6 Play,340.000đ,-0.2891156462585034,Xiaomi,in-ear,0,1,1,Bluetooth,0.6842105263157895,-0.16222533894343152,1,0,0,0,0,340000,340000,Xiaomi,Bluetooth,64150.943396226416,8500.0
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-jbl-live-pro-2.html,Tai nghe Bluetooth True Wireless JBL Live Pro 2,3.990.000đ,0.9523809523809523,Jbl,in-ear,0,1,1,Bluetooth,0.15789473684210525,-0.1645628798503974,1,0,0,0,0,3990000,3990000,Jbl,Bluetooth,831250.0,133000.0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-cowin-e7-max-bluetooth-chong-on.html,Tai nghe chụp tai Bluetooth Cowin E7 Max chống ồn,1.900.000đ,0.24149659863945577,Cowin,over-ear,0,1,0,Bluetooth,1.2105263157894737,1.6129032258064515,1,0,0,0,0,1900000,1900000,Other,Bluetooth,4935.064935064935,38000.0
cellphones,https://cellphones.com.vn/tai-nghe-gaming-havit-h2016d.html,Tai nghe chụp tai có dây Gaming Havit H2016D,450.000đ,-0.25170068027210885,Havit,over-ear,1,0,1,3.5mm,,0.7807386629266012,0,0,1,1,0,450000,450000,Havit,3.5mm,2173.913043478261,
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-sennheiser-accentum-plus.html,Tai nghe Bluetooth chụp tai Sennheiser ACCENTUM Plus,5.000.000đ,1.2959183673469388,Sennheiser,over-ear,0,1,1,Bluetooth,1.2105263157894737,0.8508648901355773,1,0,0,0,0,5000000,5000000,Sennheiser,Bluetooth,22522.522522522522,100000.0
cellphones,https://cellphones.com.vn/tai-nghe-gaming-havit-h2008d.html,Tai nghe chụp tai có dây Gaming Havit H2008D,740.000đ,-0.15306122448979592,Havit,over-ear,1,0,1,3.5mm,,0.7807386629266012,0,0,0,1,0,740000,740000,Havit,3.5mm,3574.8792270531403,
